資料日期,證券代號,持股分級,人數,股數,占集保庫存數比例%
20200807,00643K,17,5,121000,100.00
20200807,00645,1,1312,517280,4.13
20200807,00645,2,788,1607906,12.86
20200807,00645,3,80,561861,4.49
20200807,00645,4,29,361771,2.89
20200807,00645,5,14,251648,2.01
20200807,00645,6,14,339493,2.71
20200807,00645,7,4,145510,1.16
20200807,00645,8,4,187000,1.49
20200807,00645,9,4,306531,2.45
20200807,00645,10,2,371000,2.96
20200807,00645,11,3,900000,7.20
20200807,00645,12,1,500000,4.00
20200807,00645,13,0,0,0.00
20200807,00645,14,4,3780000,30.24
20200807,00645,15,1,2667000,21.34
20200807,00645,16,0,0,0.00
20200807,00645,17,2260,12497000,100.00
20200807,00646,1,1835,524386,0.18
20200807,00646,2,5383,10822474,3.79
20200807,00646,3,768,6010541,2.10
20200807,00646,4,278,3560888,1.24
20200807,00646,5,198,3625894,1.27
20200807,00646,6,140,3541702,1.24
20200807,00646,7,90,3198030,1.12
20200807,00646,8,36,1661000,0.58
20200807,00646,9,62,4550201,1.59
20200807,00646,10,32,4566593,1.60
20200807,00646,11,16,4559000,1.59
20200807,00646,12,4,2116383,0.74
20200807,00646,13,2,1404000,0.49
20200807,00646,14,2,1744000,0.61
20200807,00646,15,12,233099908,81.79
20200807,00646,16,0,0,0.00
20200807,00646,17,8858,284985000,100.00
20200807,00647L,1,14,1000,0.00
20200807,00647L,2,282,633000,4.71
20200807,00647L,3,62,497000,3.70
20200807,00647L,4,30,392000,2.92
20200807,00647L,5,22,411000,3.06
20200807,00647L,6,14,379000,2.82
20200807,00647L,7,6,219000,1.63
20200807,00647L,8,4,184000,1.37
20200807,00647L,9,15,1002000,7.46
20200807,00647L,10,4,509000,3.79
20200807,00647L,11,1,218000,1.62
20200807,00647L,12,1,563000,4.19
20200807,00647L,13,0,0,0.00
20200807,00647L,14,2,1741000,12.97
20200807,00647L,15,3,6667000,49.69
20200807,00647L,16,0,0,0.00
20200807,00647L,17,460,13416000,100.00
20200807,00648R,1,15,3167,0.00
20200807,00648R,2,1494,4022097,2.23
20200807,00648R,3,641,5349385,2.97
20200807,00648R,4,269,3539000,1.96
20200807,00648R,5,269,5073194,2.82
20200807,00648R,6,246,6555000,3.64
20200807,00648R,7,139,5030000,2.79
20200807,00648R,8,126,5964000,3.31
20200807,00648R,9,233,17615157,9.80
20200807,00648R,10,141,20376000,11.33
20200807,00648R,11,49,13644000,7.59
20200807,00648R,12,23,11659000,6.48
20200807,00648R,13,4,2829000,1.57
20200807,00648R,14,4,3794000,2.11
20200807,00648R,15,13,74235000,41.31
20200807,00648R,16,0,0,0.00
20200807,00648R,17,3666,179688000,100.00
20200807,00650L,1,6,350,0.00
20200807,00650L,2,487,1254250,5.87
20200807,00650L,3,133,1084000,5.08
20200807,00650L,4,55,717000,3.36
20200807,00650L,5,52,982000,4.60
20200807,00650L,6,52,1378000,6.45
20200807,00650L,7,26,928000,4.34
20200807,00650L,8,16,752000,3.52
20200807,00650L,9,46,3406400,15.96
20200807,00650L,10,14,1854000,8.68
20200807,00650L,11,7,1956000,9.16
20200807,00650L,12,5,2235000,10.47
20200807,00650L,13,2,1445000,6.77
20200807,00650L,14,1,920000,4.31
20200807,00650L,15,2,2426000,11.36
20200807,00650L,16,0,0,0.00
20200807,00650L,17,904,21338000,100.00
20200807,00651R,1,5,900,0.00
20200807,00651R,2,407,1083100,2.34
20200807,00651R,3,238,2009000,4.34
20200807,00651R,4,67,899000,1.94
20200807,00651R,5,79,1528000,3.30
20200807,00651R,6,57,1516000,3.28
20200807,00651R,7,37,1356000,2.93
20200807,00651R,8,34,1649000,3.56
20200807,00651R,9,59,4270000,9.24
20200807,00651R,10,30,4342000,9.39
20200807,00651R,11,10,2799000,6.05
20200807,00651R,12,4,1998000,4.32
20200807,00651R,13,4,2790000,6.04
20200807,00651R,14,1,908000,1.96
20200807,00651R,15,6,19044000,41.22
20200807,00651R,16,0,0,0.00
20200807,00651R,17,1038,46192000,100.00
20200807,00652,1,1748,692564,1.87
20200807,00652,2,2901,6484094,17.50
20200807,00652,3,614,4658580,12.57
20200807,00652,4,169,2151698,5.80
20200807,00652,5,97,1761768,4.75
20200807,00652,6,90,2317443,6.25
20200807,00652,7,35,1230650,3.32
20200807,00652,8,33,1510655,4.07
20200807,00652,9,48,3438548,9.28
20200807,00652,10,25,3685000,9.95
20200807,00652,11,15,4520000,12.20
20200807,00652,12,3,1489000,4.02
20200807,00652,13,1,788000,2.12
