證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"3014","聯陽","1,611,391","111,436,400","69.00","69.90","68.00","69.60","+0.50","1,199"
"3015","全漢","2,976,668","93,248,152","31.00","32.15","30.30","31.75","+0.70","1,586"
"3016","嘉晶","2,349,669","160,632,289","67.70","69.20","67.30","68.60","+0.90","1,529"
"3017","奇鋐","66,705,982","3,727,854,952","56.00","57.50","54.10","56.60","+1.00","32,900"
"3018","同開","142,366","2,989,486","21.20","21.30","20.80","20.85","-0.35","90"
"3019","亞光","1,537,210","107,898,731","70.50","71.00","69.00","70.70","+0.70","1,078"
"3021","鴻名","479,000","7,169,800","14.85","15.15","14.55","14.95","-0.10","166"
"3022","威強電","356,337","16,991,739","47.70","48.50","47.00","47.90","+0.60","302"
"3023","信邦","619,573","107,960,775","174.50","176.00","172.50","176.00","+1.50","523"
"3024","憶聲","3,272,230","35,790,888","11.00","11.15","10.80","10.95","-0.30","1,109"
"3025","星通","91,002","1,725,338","19.10","19.10","18.80","19.00","-0.10","42"
"3026","禾伸堂","825,828","89,967,163","109.00","110.00","107.50","109.50","+0.50","648"
"3027","盛達","5,463,520","80,461,007","14.20","15.15","14.20","14.80","+0.60","2,151"
"3028","增你強","544,227","10,726,241","19.60","19.85","19.55","19.70","+0.20","276"
"3029","零壹","1,637,840","71,970,566","43.55","44.45","43.00","44.10","+0.65","983"
"3030","德律","1,016,671","56,890,438","55.80","56.20","55.50","56.10","+0.30","650"
"3031","佰鴻","143,247","1,912,407","13.30","13.50","13.25","13.45","+0.15","68"
"3032","偉訓","1,572,268","59,791,595","38.10","38.90","37.30","38.25","-0.50","938"
"3033","威健","1,905,861","34,223,688","18.00","18.05","17.90","17.95"," 0.00","799"
"3034","聯詠","5,774,949","1,623,701,914","282.50","285.00","276.00","285.00","+0.50","3,615"
"3035","智原","1,969,216","91,804,048","46.30","47.30","46.00","47.00","+0.75","1,318"
"3036","文曄","1,264,830","53,528,050","42.30","42.45","42.15","42.35","+0.05","593"
"3037","欣興","163,925,031","13,634,972,535","81.50","86.90","79.00","85.00","+4.40","85,437"
"3038","全台","2,627,999","48,936,077","18.25","18.90","18.15","18.55","+0.35","1,229"
"3040","遠見","145,150","5,278,297","36.15","36.50","36.10","36.50","+0.40","121"
"3041","揚智","3,008,967","82,513,473","26.55","28.00","26.55","27.80","+0.95","1,653"
"3042","晶技","7,342,760","601,384,334","81.80","83.50","80.40","82.50","+1.10","4,936"
"3043","科風","1,043,121","3,727,017","3.90","3.90","3.52","3.80","-0.10","204"
"3044","健鼎","1,588,840","193,611,740","120.50","123.00","120.50","122.50","+2.00","955"
"3045","台灣大","5,085,673","523,957,645","103.00","103.50","102.50","103.00","-0.50","1,722"
"3046","建碁","26,525","449,725","16.95","17.40","16.60","17.40","+0.45","22"
"3047","訊舟","2,728,490","33,368,399","12.15","12.45","12.10","12.20","+0.05","989"
"3048","益登","1,074,794","19,069,449","17.75","17.85","17.60","17.80","+0.05","521"
"3049","和鑫","7,004,496","69,276,879","9.70","10.00","9.69","9.85","+0.13","2,009"
"3050","鈺德","1,446,601","14,330,088","9.92","9.99","9.84","9.84","+0.18","419"
"3051","力特","11,709,041","68,207,296","5.96","5.97","5.32","5.49","+0.06","1,405"
"3052","夆典","11,321,684","140,024,958","12.80","13.10","11.85","12.00","-0.75","3,120"
"3054","立萬利","33,000","743,900","22.75","22.75","22.40","22.55","-0.05","19"
"3055","蔚華科","849,334","26,599,050","29.55","32.25","29.50","32.20","+2.65","419"
"3056","總太","811,247","28,616,615","35.35","35.45","35.20","35.35","-0.15","466"
"3057","喬鼎","3,611,592","21,189,967","5.88","5.88","5.70","5.88","+0.53","704"
"3058","立德","152,220","1,051,555","6.86","6.97","6.86","6.96","+0.14","79"
"3059","華晶科","868,475","23,217,681","26.55","26.85","26.55","26.75","+0.05","385"
"3060","銘異","659,551","9,360,064","14.00","14.30","13.95","14.25","+0.25","253"
"3062","建漢","735,866","11,056,756","14.90","15.10","14.90","15.10","+0.20","334"
"3090","日電貿","606,520","28,499,698","47.20","47.20","46.80","46.95","-0.15","459"
"3094","聯傑","325,162","6,518,447","19.80","20.25","19.80","20.15","+0.35","172"
"3130","一零四","6,052","926,980","152.50","153.50","152.50","153.50","+0.50","18"
"3149","正達","2,685,695","25,288,209","9.79","9.79","9.10","9.46","-0.29","1,050"
"3164","景岳","113,001","2,639,874","23.20","23.50","22.85","23.50","+0.25","50"
"3167","大量","37,549","1,639,407","43.70","43.75","43.60","43.70","+0.10","30"
"3189","景碩","53,182,890","4,085,582,220","80.00","80.00","74.00","77.20","-0.70","30,362"
"3209","全科","4,655,565","96,035,642","20.40","20.90","20.40","20.55","+0.45","1,989"
"3229","晟鈦","82,001","822,220","10.10","10.10","9.99","10.05","-0.05","34"
"3231","緯創","16,491,091","576,564,240","35.00","35.20","34.75","34.75","-0.10","7,779"
"3257","虹冠電","373,573","28,529,787","75.00","77.50","75.00","75.90","+0.50","293"
"3266","昇陽","73,000","959,950","13.15","13.15","13.15","13.15","+0.05","24"
"3296","勝德","98,509","1,384,826","13.95","14.15","13.95","14.05"," 0.00","52"
"3305","昇貿","2,125,090","51,780,688","24.90","24.90","24.00","24.55","-0.45","1,206"
"3308","聯德","110,686","701,014","5.98","6.49","5.98","6.32","+0.42","77"
"3311","閎暉","91,625","2,447,649","26.60","27.10","26.50","26.65","+0.05","116"
"3312","弘憶股","616,595","9,646,879","15.65","15.75","15.55","15.60"," 0.00","201"
"3321","同泰","937,297","15,905,060","17.00","17.50","16.55","17.15","+0.50","436"
"3338","泰碩","1,305,898","98,921,902","75.20","76.50","74.50","76.10","+1.00","940"
"3346","麗清","435,187","12,072,201","27.50","28.15","27.20","27.55","+0.20","220"
"3356","奇偶","178,736","4,056,781","22.35","22.95","22.35","22.75","+0.10","113"
"3376","新日興","1,157,644","173,574,772","151.00","151.50","149.00","149.50","-2.50","835"
